Ονομα,Τιμή Καταλόγου,ΣΥΣΤΑΤΙΚΟ1,ML1,ΣΥΣΤΑΤΙΚΟ2,ML2,ΣΥΣΤΑΤΙΚΟ3,ML3,ΣΥΣΤΑΤΙΚΟ4,ML4,ΣΥΣΤΑΤΙΚΟ5,ML5,ΣΥΣΤΑΤΙΚΟ6,ML6,ΣΥΣΤΑΤΙΚΟ7,ML7,ΣΥΣΤΑΤΙΚΟ8,ML8,ΣΥΣΤΑΤΙΚΟ9,ML9,ΣΥΣΤΑΤΙΚΟ10,ML10,ΣΥΣΤΑΤΙΚΟ11,ML11,ΣΥΣΤΑΤΙΚΟ12,ML12,ΣΥΣΤΑΤΙΚΟ13,ML13
PORNSTAR MARTINI LOW,0.0,Νερό,15.0,ERISTOFF 700 ML,40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,30.0,vanilla syrup monin ,5.0,Passion Fruit Puree monin 1000ml,25.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
NEGRONI LEGACY,0.0,Νερό,10.0,BULDOG GIN,30.0,NOILY PRAT SWEET VERMOUT,30.0,Campari 700ml,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
PUMPKIN ON FIRE,0.0,Νερό,10.0,Cutty Sark Whiskey 700ml,50.0,pumpkin puree real handmade 500ml,20.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,25.0,Cinnamon Syrup handmade - giffard 1lt,15.0,FRESH ORANGE JUICE viva 1000 ml,20.0,FRESH LIME JUICE bar supply 1000ml,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SALTED CARAMEL MARTINI HIGH,0.0,Νερό,15.0,BACARDI SPAIN 700ML,60.0,FRESH LIME JUICE bar supply 1000ml,30.0,Salted Caramel Syrup giffard 1000ml,30.0,Simple syrop,15.0,Passion Fruit Puree monin 1000ml,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SALTED CARAMEL MARTINI LOW,0.0,Νερό,15.0,BACARDI SPAIN 700ML,40.0,FRESH LIME JUICE bar supply 1000ml,30.0,Salted Caramel Syrup giffard 1000ml,20.0,Simple syrop,30.0,Passion Fruit Puree monin 1000ml,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SECRET SIN,0.0,Νερό,15.0,BACARDI SPAIN 700ML,60.0,Pineapple Juice VIVA 1000ml,40.0,FRESH LEMON JUICE viva 1000ml,20.0,Mango Puree monin 1000ml,20.0,Passion Fruit Puree monin 1000ml,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SEX ON THE BEACH,0.0,Νερό,10.0,Liqueur Peach Schnapps giffard,20.0,FRESH ORANGE JUICE viva 1000 ml,30.0,Grenadine giffard 1000 ml,2.0,ERISTOFF 700 ML,50.0,Cranberry juice viva 1000ml,30.0,Simple syrop,15.0,Monin puree peach 1lt,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SPICY MANGO MARGARITA,0.0,Νερό,10.0,CAZADORES BLANCO 700 ML,50.0,Sweet Devil Syrop 1000ml,5.0,FRESH LIME JUICE bar supply 1000ml,30.0,Mango Puree monin 1000ml,30.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,15.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SPICY PARADISE HIGH,0.0,Νερό,10.0,BACARDI SPAIN 700ML,20.0,ERISTOFF 700 ML,20.0,Liquer Melon Midori 700ml,20.0,PUREE MELON MIXER 1000ML,20.0,FRESH LIME JUICE bar supply 1000ml,30.0,Sweet Devil Syrop 1000ml,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
STRAWBERRY BALSAM,0.0,Νερό,10.0,ERISTOFF 700 ML,40.0,Mastic Liquer XARALABIDHS 5 LT,20.0,Strawberry Puree monin 1000ml,20.0,Balsam,5.0,FRESH LEMON JUICE viva 1000ml,20.0,FRESH LIME JUICE bar supply 1000ml,10.0,Simple syrop,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SUN MASTIC,0.0,Νερό,10.0,Mastic Liquer XARALABIDHS 5 LT,50.0,Strawberry syrup GIFFARD 1000ml,20.0,Pink pepper,,φυλλα αρμπαρόριζας,,Κιτρικό Οξύ,,FRESH LIME JUICE bar supply 1000ml,30.0,Simple syrop,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SUN METAXA,0.0,Νερό,10.0,Metaxa 5star 700 ml,45.0,ΜΑΡΜΕΛΑΔΑ ΔΑΜΑΣΚΗΝΟ,35.0,ΣΙΡΟΠΙ ΣΥΚΟ,,Κιτρικό Οξύ,,FRESH LIME JUICE bar supply 1000ml,15.0,Simple syrop,30.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SUN OUZO,0.0,Νερό,10.0,Ouzo PERNAU 5000ML,40.0,Χυμός Βύσσινο 1000ml ViVA,60.0,Κιτρικό Οξύ,1.0,Liqueur Giffard Rose/Τριαντάφυλλο,3.0,FRESH LIME JUICE bar supply 1000ml,10.0,Simple syrop,20.0,Forest Fruit Puree mixer,5.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SUN RAKI,0.0,Νερό,10.0,ΡΑΚΙ ΧΥΜΑ1000ML,40.0,ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ,1.0,"ΔΕΝΤΡΟΛΙΒΑΝΟ 0,5gr",1.0,"ΔΥΟΣΜΟΣ 0,5gr",1.0,PUREE MELON MIXER 1000ML,10.0,Liquer Melon Midori 700ml,15.0,FRESH LIME JUICE bar supply 1000ml,20.0,Simple syrop,30.0,Κιτρικό Οξύ,1.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
SUN-TSIPOURO 1,0.0,Νερό,10.0,tsipouro TYRNAVOS 5000ML,50.0,Mango Puree monin 1000ml,25.0,SMUSHED CARDAMON,2.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,20.0,FRESH ORANGE JUICE viva 1000 ml,30.0,FRESH LEMON JUICE viva 1000ml,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
TOMMY'S MARGARITA,0.0,Νερό,10.0,Olmeca tequilla silver,60.0,FRESH LIME JUICE bar supply 1000ml,30.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,10.0,ΣΙΡΟΠΙ ΑΓΑΥΗΣ,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
VIOLETTA MEDIUM,0.0,Νερό,10.0,BOMBAY DRY GIN 700ml,40.0,FRESH LEMON JUICE viva 1000ml,20.0,FRESH LIME JUICE bar supply 1000ml,10.0,Violet Syrup Giffard,25.0,Syrup Ginger giffard,20.0,Simple syrop,10.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
YUNKAI LEGACY,0.0,Νερό,10.0,BULDOG GIN,40.0,ΛΙΚΕΡ ΣΧΙΝΟΣ ΜΑΣΤΙΧΑ,20.0,FRESH LIME JUICE bar supply 1000ml,10.0,Strawberry Puree monin 1000ml,15.0,Strawberry syrup GIFFARD 1000ml,15.0,Vanilla Syrup Giffard 1000ml,15.0,Monin Puree Yuzu 1L,20.0,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,,ΚΕΝΟ,
ZOMBIE,0.0,Νερό,15.0,BACARDI SPAIN 700ML,25.0,BACARDI ANEJO CUATRO 700ML,15.0,BACARDI BLACK 700ML,25.0,PLANTATION RUM  OVERPROOF 700ML,5.0,Orange Triple Sec ΑΙΟΛΙΚΙ 700ML,25.0,Simple syrop,15.0,FRESH LIME JUICE bar supply 1000ml,20.0,FRESH ORANGE JUICE viva 1000 ml,20.0,Pineapple Juice VIVA 1000ml,40.0,Almond Syrup giffard 1000ml,20.0,Passion Fruit Puree monin 1000ml,10.0,ΚΕΝΟ,
